id,song,acousticness,danceability,energy,instrumentalness,loudness,tempo,valence
2650,8804,0.1790,0.7300,0.8070,0.7180,-6.4750,114.7150,0.7270
2651,8805,0.0577,0.9060,0.5850,0.0000,-7.7200,129.0550,0.8310
2652,8806,0.1370,0.6280,0.2910,0.0000,-10.5430,88.3060,0.3370
2653,8807,0.1970,0.9780,0.6870,0.0071,-4.9570,110.6160,0.7840
2654,8808,0.1220,0.6870,0.7230,0.0010,-4.7510,76.0000,0.4320
2655,8809,0.5260,0.6660,0.7110,0.0000,-4.2270,79.7550,0.8840
2656,8810,0.2690,0.6400,0.7430,0.0000,-4.0800,122.0350,0.3610
2657,8811,0.0021,0.4500,0.8490,0.0000,-3.8810,143.9040,0.3360
2658,8812,0.2850,0.7710,0.6760,0.0000,-6.0180,119.9970,0.8040
2659,8813,0.0056,0.6170,0.7170,0.0000,-7.8580,103.9920,0.4900
2660,8814,0.0847,0.6850,0.8000,0.0000,-6.5640,120.2260,0.4830
2661,8815,0.0014,0.7090,0.8900,0.0000,-3.6890,141.0420,0.8850
2662,8816,0.1230,0.7970,0.7800,0.0000,-3.7450,160.0500,0.7790
2663,8817,0.1500,0.7620,0.6610,0.0000,-6.0750,130.0090,0.7690
2664,8818,0.0007,0.4350,0.8870,0.0000,-4.0700,199.9350,0.4080
2665,8819,0.0611,0.6750,0.3940,0.0000,-8.5390,104.9870,0.4050
2666,8820,0.0031,0.7230,0.6440,0.0000,-6.8630,144.0900,0.6450
2667,8821,0.3290,0.4050,0.7210,0.0000,-6.9700,92.8550,0.8160
2668,8822,0.0459,0.6160,0.9100,0.0000,-3.0040,144.0730,0.6930
3341,9502,0.9800,0.3190,0.1300,0.9760,-11.4290,94.3230,0.0587
3342,9503,0.1590,0.6910,0.5750,0.0000,-7.4310,99.9840,0.4020
3343,9504,0.3850,0.5090,0.5380,0.0000,-7.3350,75.0890,0.2440
3344,9505,0.1120,0.6360,0.4360,0.0000,-9.5240,84.8040,0.3310
3345,9506,0.5490,0.5510,0.4910,0.0000,-6.8730,136.9260,0.3820
3346,9507,0.0038,0.5320,0.7830,0.0012,-5.6970,124.0800,0.6430
3347,9508,0.2020,0.3270,0.7100,0.0001,-2.9280,179.5610,0.4160
3348,9509,0.2250,0.6000,0.6630,0.0000,-5.8020,121.0700,0.2860
3349,9510,0.0197,0.3990,0.7870,0.0001,-2.8800,117.0890,0.5720
