id,title,artist,year,rank
9045,Miss Independent,Ne-Yo,2009,59
9046,Fireflies,Owl City,2009,60
9047,New Divide,Linkin Park,2009,61
9048,Empire State Of Mind,Jay-Z + Alicia Keys,2009,62
9049,No Surprise,Daughtry,2009,63
9050,She Wolf,Shakira,2009,64
9051,Break Up,Mario Featuring Gucci Mane & Sean Garrett,2009,65
9052,Sweet Dreams,Beyonce,2009,66
9053,Every Girl,Young Money,2009,67
9054,Fallin' For You,Colbie Caillat,2009,68
9055,Untouched,The Veronicas,2009,69
9056,If Today Was Your Last Day,Nickelback,2009,70
9057,Throw It In The Bag,Fabolous Featuring The-Dream,2009,71
9058,Love Drunk,Boys Like Girls,2009,72
9059,I Love College,Asher Roth,2009,73
9060,If U Seek Amy,Britney Spears,2009,74
9061,Big Green Tractor,Jason Aldean,2009,75
9062,White Horse,Taylor Swift,2009,76
9063,Disturbia,Rihanna,2009,77
9064,21 Guns,Green Day,2009,78
9066,Rockin' That Thang,The-Dream,2009,80
9067,Chicken Fried,Zac Brown Band,2009,81
9068,Diva,Beyonce,2009,82
9069,Replay,Iyaz,2009,83
9070,Then,Brad Paisley,2009,84
9071,Her Diamonds,Rob Thomas,2009,85
9072,How Do You Sleep?,Jesse McCartney Featuring Ludacris,2009,86
9073,3,Britney Spears,2009,87
9074,Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem",2009,88
9075,One Time,Justin Bieber,2009,89
9076,I Run To You,Lady Antebellum,2009,90
9077,I Do Not Hook Up,Kelly Clarkson,2009,91
9078,Green Light,John Legend Featuring Andre 3000,2009,92
9079,People Are Crazy,Billy Currington,2009,93
9080,Whatever It Is,Zac Brown Band,2009,94
9081,Already Gone,Kelly Clarkson,2009,95
9082,Goodbye,Kristinia DeBarge,2009,96
9083,Say Hey (I Love You),Michael Franti & Spearhead Featuring Cherine Anderson,2009,97
9084,Pop Champagne,Jim Jones & Ron Browz Featuring Juelz Santana,2009,98
9085,Pretty Wings,Maxwell,2009,99
9086,Never Say Never,The Fray,2009,100
9087,TiK ToK,Ke$ha,2010,1
9088,Need You Now,Lady Antebellum,2010,2
9089,"Hey, Soul Sister",Train,2010,3
9090,California Gurls,Katy Perry Featuring Snoop Dogg,2010,4
9091,OMG,Usher Featuring will.i.am,2010,5
9092,Airplanes,B.o.B Featuring Hayley Williams,2010,6
9093,Love The Way You Lie,Eminem Featuring Rihanna,2010,7
9094,Bad Romance,Lady Gaga,2010,8
9095,Dynamite,Taio Cruz,2010,9
9096,Break Your Heart,Taio Cruz Featuring Ludacris,2010,10
9097,Nothin' On You,B.o.B Featuring Bruno Mars,2010,11
9098,I Like It,Enrique Iglesias Featuring Pitbull,2010,12
9099,BedRock,Young Money Featuring Lloyd,2010,13
9100,In My Head,Jason Derulo,2010,14
9101,Rude Boy,Rihanna,2010,15
9102,Telephone,Lady Gaga Featuring Beyonce,2010,16
9103,Teenage Dream,Katy Perry,2010,17
9104,Just The Way You Are,Bruno Mars,2010,18
9105,Cooler Than Me,Mike Posner,2010,19
9106,Imma Be,The Black Eyed Peas,2010,20
9107,Empire State Of Mind,Jay-Z + Alicia Keys,2010,21
9108,DJ Got Us Fallin' In Love,Usher Featuring Pitbull,2010,22
9109,Billionaire,Travie McCoy Featuring Bruno Mars,2010,23
9110,Not Afraid,Eminem,2010,24
9111,Replay,Iyaz,2010,25
9112,Sexy Chick,David Guetta Featuring Akon,2010,26
9113,Breakeven,The Script,2010,27
9114,Your Love Is My Drug,Ke$ha,2010,28
9115,I Gotta Feeling,The Black Eyed Peas,2010,29
9116,Fireflies,Owl City,2010,30
9117,Say Aah,Trey Songz Featuring Fabolous,2010,31
9118,Find Your Love,Drake,2010,32
9119,Alejandro,Lady Gaga,2010,33
9120,Ridin' Solo,Jason Derulo,2010,34
9121,Just A Dream,Nelly,2010,35
9122,How Low,Ludacris,2010,36
9124,Carry Out,Timbaland Featuring Justin Timberlake,2010,38
9125,Haven't Met You Yet,Michael Buble,2010,39
9126,Club Can't Handle Me,Flo Rida Featuring David Guetta,2010,40
9127,Down,Jay Sean Featuring Lil Wayne,2010,41
9128,Bulletproof,La Roux,2010,42
9129,Whatcha Say,Jason Derulo,2010,43
9130,Baby,Justin Bieber Featuring Ludacris,2010,44
9131,Whataya Want From Me,Adam Lambert,2010,45
9132,Mine,Taylor Swift,2010,46
9133,Only Girl (In The World),Rihanna,2010,47
9134,Live Like We're Dying,Kris Allen,2010,48
9135,Hard,Rihanna Featuring Jeezy,2010,49
9136,Young Forever,Jay-Z + Mr. Hudson,2010,50
9137,Blah Blah Blah,Ke$ha Featuring 3OH!3,2010,51
9138,Bottoms Up,Trey Songz Featuring Nicki Minaj,2010,52
9139,Do You Remember,Jay Sean Featuring Sean Paul & Lil Jon,2010,53
9140,All The Right Moves,OneRepublic,2010,54
9141,According To You,Orianthi,2010,55
9142,My Chick Bad,Ludacris Featuring Nicki Minaj,2010,56
9143,You Belong With Me,Taylor Swift,2010,57
9144,Meet Me Halfway,The Black Eyed Peas,2010,58
9145,Take It Off,Ke$ha,2010,59
9146,Over,Drake,2010,60
9147,Animal,Neon Trees,2010,61
9148,Misery,Maroon 5,2010,62
9149,Magic,B.o.B Featuring Rivers Cuomo,2010,63
9150,Paparazzi,Lady Gaga,2010,64
9151,Tie Me Down,New Boyz Featuring Ray J,2010,65
9152,Your Love,Nicki Minaj,2010,66
9153,Party In The U.S.A.,Miley Cyrus,2010,67
9154,Deuces,Chris Brown Featuring Tyga & Kevin McCall,2010,68
9155,3,Britney Spears,2010,69
9156,Impossible,Shontelle,2010,70
9157,Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem",2010,71
9158,Two Is Better Than One,Boys Like Girls Featuring Taylor Swift,2010,72
9159,My First Kiss,3OH!3 Featuring Ke$ha,2010,73
9160,Already Gone,Kelly Clarkson,2010,74
9161,Rock That Body,The Black Eyed Peas,2010,75
9162,Secrets,OneRepublic,2010,76
